id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Era Anthem,Block Cipher,hip-hop,nostalgic,0.74,95,0.68,0.85,0.14
12,Moonlight Sonata Remix,Clara Voss,classical,melancholic,0.22,66,0.38,0.21,0.97
13,Dusty Backroads,Thorn & Saddle,country,peaceful,0.45,104,0.73,0.55,0.82
14,Velvet Midnight,Solène,r&b,romantic,0.61,88,0.78,0.70,0.43
15,Iron Cathedral,Wraith Engine,rock,angry,0.98,168,0.31,0.58,0.04
16,Island Breeze,Coral Rhythm,reggae,uplifting,0.55,76,0.87,0.64,0.67
17,Pulse Protocol,Driftwave,electronic,energetic,0.89,140,0.62,0.91,0.07
18,Rainy Window,Paper Lanterns,lofi,sad,0.30,68,0.33,0.50,0.91
19,Neon Garden,Orbit Bloom,synthwave,dreamy,0.67,105,0.72,0.76,0.19
20,Bassline Revival,The Groove Unit,jazz,groovy,0.80,112,0.90,0.93,0.11
